year,neighbourhood,average_house_value
2011,Rustic,479264
2011,Scarborough Village,366694
2011,South Parkdale,497483
2011,South Riverdale,505868
2011,St.Andrew-Windfields,1110755
2011,Steeles,418033
2011,Stonegate-Queensway,611942
2011,Tam O'Shanter-Sullivan,393477
2011,Taylor-Massey,266168
2011,The Beaches,740764
2011,Thistletown-Beaumond Heights,417866
2011,Thorncliffe Park,283790
2011,Trinity-Bellwoods,594191
2011,University,687412
2011,Victoria Village,391483
2011,Waterfront Communities-The Island,418977
2011,West Hill,316456
2011,West Humber-Clairville,381612
2011,Westminster-Branson,388356
2011,Weston,342427
2011,Weston-Pellam Park,391115
2011,Wexford/Maryvale,387243
2011,Willowdale East,521460
2011,Willowdale West,518224
2011,Willowridge-Martingrove-Richview,516160
2011,Woburn,331863
2011,Woodbine Corridor,495153
2011,Woodbine-Lumsden,411256
2011,Wychwood,629223
2011,Yonge-Eglinton,900233
2011,Yonge-St.Clair,904096
2011,York University Heights,340083
2011,Yorkdale-Glen Park,479009
2016,Agincourt North,459051
2016,Agincourt South-Malvern West,465144
2016,Alderwood,595608
2016,Annex,1039687
2016,Banbury-Don Mills,851872
2016,Bathurst Manor,698124
2016,Bay Street Corridor,589666
2016,Bayview Village,750572
2016,Bayview Woods-Steeles,786976
2016,Bedford Park-Nortown,1295007
2016,Beechborough-Greenbrook,516279
2016,Bendale,419121
2016,Birchcliffe-Cliffside,608681
2016,Black Creek,363055
2016,Blake-Jones,711848
2016,Briar Hill-Belgravia,508759
2016,Bridle Path-Sunnybrook-York Mills,2124653
2016,Broadview North,617113
2016,Brookhaven-Amesbury,488463
2016,Cabbagetown-South St.James Town,687732
2016,Caledonia-Fairbank,503455
2016,Casa Loma,1365503
2016,Centennial Scarborough,570471
2016,Church-Yonge Corridor,565258
2016,Clairlea-Birchmount,493491
2016,Clanton Park,767695
2016,Cliffcrest,580993
2016,Corso Italia-Davenport,584484
2016,Danforth,649919
2016,Danforth-East York,586918
2016,Don Valley Village,553974
2016,Dorset Park,364667
2016,Dovercourt-Wallace Emerson-Juncti,605040
2016,Downsview-Roding-CFB,530877
2016,Dufferin Grove,636899
2016,East End-Danforth,665384
2016,Edenbridge-Humber Valley,1108146
2016,Eglinton East,374364
2016,Elms-Old Rexdale,373493
2016,Englemount-Lawrence,791880
2016,Eringate-Centennial-West Deane,553656
2016,Etobicoke West Mall,430658
2016,Flemingdon Park,289227
2016,Forest Hill North,1185419
2016,Forest Hill South,1664653
